LocationID,LocationAbbr,Stratification1,Year,yhat,yhat_lower,yhat_upper
01127,AL,Ages 35-64 years,2030,636.5259557142628,616.7542388913745,657.3560557615255
21025,KY,Ages 35-64 years,2030,619.3914204643322,589.6429871312961,646.3791274218864
29155,MO,Ages 35-64 years,2030,577.2157255609864,560.741694026087,594.4940948490655
47029,TN,Ages 35-64 years,2030,577.0657846719805,545.2070511049513,608.3156411671721
51730,VA,Ages 35-64 years,2030,567.6673056926824,549.0779110343593,586.7858740975189
05041,AR,Ages 35-64 years,2030,565.0576879257964,542.3279084544495,587.7446400667769
21193,KY,Ages 35-64 years,2030,559.6745860640987,545.2995458299432,575.6654163681451
38085,ND,Ages 35-64 years,2030,547.8827995362873,526.9505977378386,571.8350194999016
45069,SC,Ages 35-64 years,2030,526.8115188791577,504.48521703972654,551.2325897558675
28021,MS,Ages 35-64 years,2030,511.2080390636283,495.8760619905857,525.7267175467344
